Sample_ID,Device,Concentration_mM,Scan_Rate_mVs,PC1_Score,PC2_Score,Device_Prediction_Score,Actual_Device_Code,OX_Voltage_V,OX_Current_A,RED_Voltage_V,RED_Current_A,Peak_Separation_V
160,STM32,1.0,20,-3.5463363812109434,0.9897126459153547,0.4461508598736165,1,0.0786,-1.1909999999999998,0.1682,1.0221,0.0895999999999999
161,STM32,1.0,400,-1.6142960840494196,0.5629070587119925,1.1155288340386909,1,0.0585,-8.168000000000001,0.198,8.5604,0.1395
162,STM32,1.0,400,-0.7103874394096783,0.9943646895992377,1.2055877295086834,1,0.0585,-8.3123,0.1882,8.3833,0.1297
163,STM32,1.0,400,-1.6281406104389924,0.8478430334263924,1.2055849565919232,1,0.0585,-8.3809,0.1882,8.365,0.1297
164,STM32,1.0,400,-0.5598296469313544,0.7363639817095153,1.205582884449105,1,0.0585,-8.4329,0.1882,8.351,0.1297
165,STM32,1.0,400,-0.8051118599932163,0.9408873315180579,1.2055708816735868,1,0.0585,-8.464899999999998,0.1882,8.3886,0.1297
166,STM32,1.0,400,-0.7292253187569091,-0.011946792516658644,1.2055624026221545,1,0.0585,-8.5008,0.1882,8.4093,0.1297
167,STM32,1.0,400,-1.3947640288061096,0.6115270410762865,1.2055591016806861,1,0.0585,-8.5326,0.1882,8.4095,0.1297
168,STM32,1.0,400,-1.409606436335812,0.7334806118012166,1.205552195664472,1,0.0585,-8.5588,0.1882,8.427700000000002,0.1297
169,STM32,1.0,400,-1.4416635662307375,0.8738563010175168,1.2055449163414946,1,0.0585,-8.5764,0.1882,8.4513,0.1297
170,STM32,1.0,400,-1.3666296195076415,0.9548872554144062,1.2055403792342239,1,0.0585,-8.600999999999999,0.1882,8.46,0.1297
171,STM32,1.0,50,-3.1313557748209813,0.6185528049517183,0.5134744495484522,1,0.0786,-1.9737,0.1682,1.8541,0.0895999999999999
172,STM32,1.0,50,-2.572488627763055,0.7550896833353622,0.559279318810058,1,0.0683,-1.9825,0.1682,1.854,0.0998999999999999
173,STM32,1.0,50,-1.9804077319873623,1.0837765718047432,0.5134725372083837,1,0.0786,-1.9942,0.1682,1.8533,0.0895999999999999
174,STM32,1.0,50,-2.9017572818604602,0.6044311202839133,0.5134726418948825,1,0.0786,-2.0086,0.1682,1.8465,0.0895999999999999
175,STM32,1.0,50,-2.6847676319971234,0.1484820793150763,0.5134734042906784,1,0.0786,-1.9948,0.1682,1.8493,0.0895999999999999
176,STM32,1.0,50,-2.7129004188001753,0.8436548767665614,0.5134700228306441,1,0.0786,-2.0165,0.1682,1.8543,0.0895999999999999
177,STM32,1.0,50,-3.2797142422220205,1.0033990174812129,0.5134659506759739,1,0.0786,-2.02,0.1682,1.8703,0.0895999999999999
178,STM32,1.0,50,-2.622770506467041,0.6405865665976989,0.5134634400583541,1,0.0786,-2.0155,0.1682,1.8831,0.0895999999999999
179,STM32,1.0,50,-3.345723470127213,1.1046693485154606,0.5134649435805833,1,0.0786,-2.0185,0.1682,1.8753,0.0895999999999999
180,STM32,1.0,50,-2.637948463596406,0.7274803757028534,0.5134606768813965,1,0.0786,-2.0332,0.1682,1.8872,0.0895999999999999
231,STM32,5.0,100,-2.803347735086556,0.3684456895685737,0.29595008783936205,1,0.0482,-143.75,0.2278,142.53,0.1796
232,STM32,5.0,100,-3.267265058196108,1.0000919517890257,0.29591461916238804,1,0.0482,-146.41,0.2278,141.51,0.1796
233,STM32,5.0,100,-2.5992405704352324,0.36239479579533224,0.2959318079308566,1,0.0482,-147.24,0.2278,141.07,0.1796
