Sample_ID,Device,Concentration_mM,Scan_Rate_mVs,PC1_Score,PC2_Score,Device_Prediction_Score,Actual_Device_Code,OX_Voltage_V,OX_Current_A,RED_Voltage_V,RED_Current_A,Peak_Separation_V
32,Palmsens,0.5,100,1.8068183704190257,-0.5134539370673784,0.5775890009650292,0,0.080362472,-14.290775,0.170432,13.816357,0.090069528
33,Palmsens,0.5,100,1.7683722276361866,-1.0891043232723392,0.577563669902471,0,0.080362472,-14.335867,0.170432,13.905604,0.090069528
34,Palmsens,0.5,100,1.9395194026963063,-1.1394866081162038,0.5775410844437998,0,0.080362472,-14.390355,0.170432,13.97888,0.090069528
35,Palmsens,0.5,100,2.549200542861204,-0.9458967170538136,0.5775288937401726,0,0.080362472,-14.41572,0.170432,14.020215,0.090069528
36,Palmsens,0.5,100,2.25052114216217,-0.9294349863915988,0.5775184542038776,0,0.080362472,-14.44954,0.170432,14.050278,0.090069528
37,Palmsens,0.5,100,1.9195292422551875,-0.7339100686277645,0.5775158374917913,0,0.080362472,-14.44954,0.170432,14.061551,0.090069528
38,Palmsens,0.5,100,2.6997089273573596,-0.9192963413591422,0.5775098020639101,0,0.080362472,-14.446721,0.170432,14.088795,0.090069528
39,Palmsens,0.5,100,1.974230041673269,-1.292275584876051,0.5775079733513238,0,0.080362472,-14.43263,0.170432,14.102886,0.090069528
40,Palmsens,0.5,100,2.081032759614752,-0.8214437655859226,0.5775037854232592,0,0.080362472,-14.437327,0.170432,14.118857,0.090069528
41,Palmsens,0.5,100,1.8609869749354546,-1.1060050960578436,0.3040486859178966,0,0.100378032,-14.607366,0.190448,16.438336,0.090069968
42,Palmsens,0.5,100,1.1112570834360744,-1.1232308157617454,0.30403515784973956,0,0.100378032,-14.686279,0.190448,16.461823,0.090069968
43,Palmsens,0.5,100,1.0765105272825228,-1.082993030574384,0.25951871660031006,0,0.110385808,-14.788678,0.190448,16.460882,0.080062192
44,Palmsens,0.5,100,1.5465892953838822,-1.1690157407864108,0.25951584404411054,0,0.110385808,-14.801831,0.190448,16.467458,0.080062192
45,Palmsens,0.5,100,1.4526324063238065,-0.9487507920061932,0.2595117919825153,0,0.110385808,-14.824377,0.190448,16.474974,0.080062192
46,Palmsens,0.5,100,1.933129655213417,-1.316069399793861,0.2595015519835141,0,0.110385808,-14.864773,0.190448,16.501278,0.080062192
