Time_s,Potential_V,Current_Total_uA,Current_Faradaic_uA,Current_Capacitive_uA,C_Ox_Surface_mM,C_Red_Surface_mM,Current_Density_mA_cm2
11.98,0.702,348.3611408939491,348.406108221892,-0.019999999999998862,10.0,0.0,0.348406108221892
11.99,0.7010000000000001,349.347983440745,349.414737170165,-0.020000000000000285,10.0,0.0,0.34941473717016497
12.0,0.7000000000000001,350.31576684380184,350.39663932828165,-0.020000000000000285,10.0,0.0,0.35039663932828163
12.01,0.6990000000000001,351.2621197100488,351.3359846859753,-0.020000000000000285,10.0,0.0,0.35133598468597527
12.02,0.6980000000000001,352.18721958991466,352.21542348815194,-0.020000000000000285,10.0,0.0,0.35221542348815194
12.030000000000001,0.697,353.09351700029777,353.0970636378719,-0.020000000000000285,10.0,0.0,0.3530970636378719
12.040000000000001,0.696,353.9853030480596,353.9809106453891,-0.020000000000000285,10.0,0.0,0.3539809106453891
12.05,0.695,354.86810627229016,354.86697003475007,-0.020000000000000285,10.0,0.0,0.35486697003475004
12.06,0.694,355.74790383253924,355.75524734382884,-0.019999999999998862,10.0,0.0,0.35575524734382885
12.07,0.6930000000000001,356.6301316731887,356.6457481243617,-0.019999999999998862,10.0,0.0,0.35664574812436173
12.08,0.6920000000000001,357.5184777911447,357.5384779419812,-0.020000000000001707,10.0,0.0,0.35753847794198124
12.09,0.6910000000000001,358.41344222503756,358.4334423762517,-0.020000000000000285,10.0,0.0,0.35843344237625174
12.1,0.6900000000000001,359.3106468691113,359.33064702070396,-0.020000000000000285,10.0,0.0,0.35933064702070394
12.11,0.6890000000000001,360.2100973308976,360.2300974828696,-0.020000000000000285,10.0,0.0,0.3602300974828696
12.120000000000001,0.688,361.11179923196477,361.1317993843173,-0.019999999999998862,10.0,0.0,0.3611317993843173
12.13,0.6869999999999999,362.01575820795273,362.03575836068666,-0.020000000000000285,10.0,0.0,0.36203575836068663
12.14,0.6859999999999999,362.921979908608,362.9419800617241,-0.019999999999998862,10.0,0.0,0.3629419800617241
12.15,0.685,363.83046999781914,363.85047015131863,-0.019999999999998862,10.0,0.0,0.3638504701513186
12.16,0.684,364.7412341536522,364.7612343075359,-0.020000000000000285,10.0,0.0,0.36476123430753593
12.17,0.683,365.65427806838613,365.67427822265495,-0.020000000000001707,10.0,0.0,0.36567427822265497
12.18,0.682,366.5696074485483,366.58960760320326,-0.020000000000000285,10.0,0.0,0.36658960760320325
12.19,0.681,367.4872280149503,367.5072281699924,-0.020000000000000285,10.0,0.0,0.36750722816999243
12.200000000000001,0.6799999999999999,368.4071455027238,368.42714565815396,-0.020000000000000285,10.0,0.0,0.368427145658154
12.21,0.6789999999999999,369.32936566135595,369.3493658171752,-0.020000000000001707,10.0,0.0,0.3693493658171752
12.22,0.6779999999999999,370.25389425472576,370.27389441093516,-0.019999999999998862,10.0,0.0,0.37027389441093517
12.23,0.677,371.18073706114006,371.20073721774037,-0.019999999999998862,10.0,0.0,0.3712007372177404
12.24,0.676,372.1098998733693,372.1299000303616,-0.020000000000000285,10.0,0.0,0.3721299000303616
12.25,0.675,373.04138849868406,373.06138865606937,-0.020000000000000285,10.0,0.0,0.37306138865606936
12.26,0.674,373.97520875889137,373.99520891667066,-0.020000000000001707,10.0,0.0,0.37399520891667065
12.27,0.673,374.9113664903709,374.93136664854507,-0.020000000000000285,10.0,0.0,0.37493136664854504
