device,concentration,scan_rate,electrode,scan_number,filename,ox_voltage,ox_current,ox_confidence,red_voltage,red_current,red_confidence,peak_separation_voltage,peak_separation_current,current_ratio,midpoint_potential
STM32,0.0,0.0,unknown,1,Pipot_Ferro-20mM_20mVpS_E1_scan_02,0.198,1.7961,91.85173747795213,-0.0212,-2.316,97.6813624393624,0.2192,4.1121,-0.775518134715026,0.0884
STM32,0.0,0.0,unknown,1,Pipot_Ferro-20mM_20mVpS_E1_scan_04,0.1882,190.58,89.5928963711359,-0.0316,-233.03,95.66539707173112,0.2198,423.61,-0.8178346135690684,0.07830000000000001
STM32,0.0,0.0,unknown,1,Pipot_Ferro-20mM_20mVpS_E1_scan_05,0.1882,193.34,89.99938567780626,-0.0316,-237.29,94.68008306554651,0.2198,430.63,-0.8147835981288719,0.07830000000000001
STM32,0.0,0.0,unknown,1,Pipot_Ferro-20mM_20mVpS_E1_scan_06,0.198,197.01,91.31189196927846,-0.0316,-236.0,94.63294458247589,0.22960000000000003,433.01,-0.8347881355932203,0.0832
STM32,0.0,0.0,unknown,1,Pipot_Ferro-20mM_20mVpS_E1_scan_07,0.1882,197.4,94.20949104169364,-0.0316,-236.24,98.92162879645934,0.2198,433.64,-0.835590924483576,0.07830000000000001
STM32,0.0,0.0,unknown,1,Pipot_Ferro-20mM_20mVpS_E1_scan_08,0.1882,200.28,90.50040508544416,-0.0316,-235.97,98.54411967415813,0.2198,436.25,-0.8487519599949146,0.07830000000000001
STM32,0.0,0.0,unknown,1,Pipot_Ferro-20mM_20mVpS_E1_scan_09,0.1882,201.51,96.34032932522244,-0.0413,-237.05,100.0,0.2295,438.56,-0.8500738240877451,0.07345
STM32,0.0,0.0,unknown,1,Pipot_Ferro-20mM_20mVpS_E1_scan_10,0.1882,202.67,89.81475621013287,-0.0413,-238.36,94.84196418489472,0.2295,441.03,-0.8502685014264137,0.07345
STM32,0.0,0.0,unknown,1,Pipot_Ferro-20mM_20mVpS_E1_scan_11,0.1882,206.46,87.81090902113559,-0.0413,-236.41,90.42596202009113,0.2295,442.87,-0.8733133116196439,0.07345
STM32,0.0,0.0,unknown,1,Pipot_Ferro-20mM_50mVpS_E1_scan_02,0.2181,327.01,100.0,-0.0913,-360.83,99.54841460291637,0.3094,687.8399999999999,-0.9062716514702215,0.06339999999999998
STM32,0.0,0.0,unknown,1,Pipot_Ferro-20mM_50mVpS_E1_scan_03,0.2278,326.71000000000004,98.41577836747533,-0.0913,-362.88,88.12355110513695,0.3191,689.59,-0.9003251763668432,0.06825
STM32,0.0,0.0,unknown,1,Pipot_Ferro-20mM_50mVpS_E1_scan_04,0.2181,326.81,99.7828092798119,-0.0913,-362.98,95.64260763544594,0.3094,689.79,-0.9003526365088985,0.06339999999999998
STM32,0.0,0.0,unknown,1,Pipot_Ferro-20mM_50mVpS_E1_scan_05,0.2181,327.41,94.73632814157301,-0.0913,-364.88,84.65209350821974,0.3094,692.29,-0.8973087042315282,0.06339999999999998
STM32,20.0,20.0,E1,2,Pipot_Ferro_20mM_20mVpS_E1_scan_02,0.198,1.7961,91.85173747795213,-0.0212,-2.316,97.6813624393624,0.2192,4.1121,-0.775518134715026,0.0884
STM32,20.0,20.0,E1,4,Pipot_Ferro_20mM_20mVpS_E1_scan_04,0.1882,190.58,89.5928963711359,-0.0316,-233.03,95.66539707173112,0.2198,423.61,-0.8178346135690684,0.07830000000000001
STM32,20.0,20.0,E1,5,Pipot_Ferro_20mM_20mVpS_E1_scan_05,0.1882,193.34,89.99938567780626,-0.0316,-237.29,94.68008306554651,0.2198,430.63,-0.8147835981288719,0.07830000000000001
STM32,20.0,20.0,E1,6,Pipot_Ferro_20mM_20mVpS_E1_scan_06,0.198,197.01,91.31189196927846,-0.0316,-236.0,94.63294458247589,0.22960000000000003,433.01,-0.8347881355932203,0.0832
STM32,20.0,20.0,E1,7,Pipot_Ferro_20mM_20mVpS_E1_scan_07,0.1882,197.4,94.20949104169364,-0.0316,-236.24,98.92162879645934,0.2198,433.64,-0.835590924483576,0.07830000000000001
STM32,20.0,20.0,E1,8,Pipot_Ferro_20mM_20mVpS_E1_scan_08,0.1882,200.28,90.50040508544416,-0.0316,-235.97,98.54411967415813,0.2198,436.25,-0.8487519599949146,0.07830000000000001
STM32,20.0,20.0,E1,9,Pipot_Ferro_20mM_20mVpS_E1_scan_09,0.1882,201.51,96.34032932522244,-0.0413,-237.05,100.0,0.2295,438.56,-0.8500738240877451,0.07345
STM32,20.0,20.0,E1,10,Pipot_Ferro_20mM_20mVpS_E1_scan_10,0.1882,202.67,89.81475621013287,-0.0413,-238.36,94.84196418489472,0.2295,441.03,-0.8502685014264137,0.07345
STM32,20.0,20.0,E1,11,Pipot_Ferro_20mM_20mVpS_E1_scan_11,0.1882,206.46,87.81090902113559,-0.0413,-236.41,90.42596202009113,0.2295,442.87,-0.8733133116196439,0.07345
STM32,20.0,50.0,E1,2,Pipot_Ferro_20mM_50mVpS_E1_scan_02,0.2181,327.01,100.0,-0.0913,-360.83,99.54841460291637,0.3094,687.8399999999999,-0.9062716514702215,0.06339999999999998
STM32,20.0,50.0,E1,3,Pipot_Ferro_20mM_50mVpS_E1_scan_03,0.2278,326.71000000000004,98.41577836747533,-0.0913,-362.88,88.12355110513695,0.3191,689.59,-0.9003251763668432,0.06825
STM32,20.0,50.0,E1,4,Pipot_Ferro_20mM_50mVpS_E1_scan_04,0.2181,326.81,99.7828092798119,-0.0913,-362.98,95.64260763544594,0.3094,689.79,-0.9003526365088985,0.06339999999999998
STM32,20.0,50.0,E1,5,Pipot_Ferro_20mM_50mVpS_E1_scan_05,0.2181,327.41,94.73632814157301,-0.0913,-364.88,84.65209350821974,0.3094,692.29,-0.8973087042315282,0.06339999999999998
STM32,0.0,100.0,E1,2,Pipot_Ferro-5_0mM_100mVpS_E1_scan_02,0.2278,142.53,92.54052764340128,0.0482,-143.75,100.0,0.1796,286.28,-0.9915130434782609,0.138
STM32,0.0,100.0,E1,3,Pipot_Ferro-5_0mM_100mVpS_E1_scan_03,0.2278,141.51,98.95840703682968,0.0482,-146.41,100.0,0.1796,287.91999999999996,-0.9665323406871115,0.138
STM32,0.0,100.0,E1,4,Pipot_Ferro-5_0mM_100mVpS_E1_scan_04,0.2278,141.07,100.0,0.0482,-147.24,100.0,0.1796,288.31,-0.9580956261885356,0.138
STM32,0.0,100.0,E1,5,Pipot_Ferro-5_0mM_100mVpS_E1_scan_05,0.2278,140.57,99.27377680881062,0.0482,-147.66,100.0,0.1796,288.23,-0.9519842882297169,0.138
STM32,0.0,100.0,E1,6,Pipot_Ferro-5_0mM_100mVpS_E1_scan_06,0.2278,140.51,98.25747970389102,0.0482,-148.1,100.0,0.1796,288.61,-0.9487508440243079,0.138
STM32,0.0,100.0,E1,7,Pipot_Ferro-5_0mM_100mVpS_E1_scan_07,0.2278,141.35,92.52272828417671,0.0482,-148.37,100.0,0.1796,289.72,-0.9526858529352294,0.138
STM32,0.0,100.0,E1,8,Pipot_Ferro-5_0mM_100mVpS_E1_scan_08,0.2278,140.94,95.9053826989025,0.0482,-149.48000000000002,100.0,0.1796,290.42,-0.9428686111854427,0.138
STM32,0.0,100.0,E1,9,Pipot_Ferro-5_0mM_100mVpS_E1_scan_09,0.2278,141.61999999999998,98.27318678476045,0.0482,-149.26,100.0,0.1796,290.88,-0.9488141498057081,0.138
STM32,0.0,100.0,E1,10,Pipot_Ferro-5_0mM_100mVpS_E1_scan_10,0.2278,141.57,100.0,0.0482,-149.5,100.0,0.1796,291.07,-0.9469565217391304,0.138
STM32,0.0,100.0,E1,11,Pipot_Ferro-5_0mM_100mVpS_E1_scan_11,0.2278,141.43,97.15339810165639,0.0482,-150.1,100.0,0.1796,291.53,-0.942238507661559,0.138
STM32,0.0,200.0,E1,2,Pipot_Ferro-5_0mM_200mVpS_E1_scan_02,0.2479,207.8,100.0,0.0287,-208.2,100.0,0.2192,416.0,-0.9980787704130645,0.1383
STM32,0.0,200.0,E1,3,Pipot_Ferro-5_0mM_200mVpS_E1_scan_03,0.2479,206.53,100.0,0.0287,-209.52,100.0,0.2192,416.05,-0.9857292859870179,0.1383
STM32,0.0,200.0,E1,4,Pipot_Ferro-5_0mM_200mVpS_E1_scan_04,0.2479,206.5,100.0,0.0287,-210.72,100.0,0.2192,417.22,-0.9799734244495064,0.1383
STM32,0.0,200.0,E1,5,Pipot_Ferro-5_0mM_200mVpS_E1_scan_05,0.2479,206.73,100.0,0.0287,-210.6,100.0,0.2192,417.33,-0.9816239316239316,0.1383
STM32,0.0,200.0,E1,6,Pipot_Ferro-5_0mM_200mVpS_E1_scan_06,0.2479,206.53,100.0,0.0287,-210.89,100.0,0.2192,417.41999999999996,-0.9793257148276353,0.1383
STM32,0.0,200.0,E1,7,Pipot_Ferro-5_0mM_200mVpS_E1_scan_07,0.2479,206.77,100.0,0.0287,-210.69,100.0,0.2192,417.46000000000004,-0.9813944658028384,0.1383
STM32,0.0,200.0,E1,8,Pipot_Ferro-5_0mM_200mVpS_E1_scan_08,0.2479,206.13,100.0,0.0287,-212.03,100.0,0.2192,418.15999999999997,-0.9721737489977833,0.1383
STM32,0.0,200.0,E1,9,Pipot_Ferro-5_0mM_200mVpS_E1_scan_09,0.2479,206.67,100.0,0.0287,-211.31,100.0,0.2192,417.98,-0.9780417396242487,0.1383
STM32,0.0,200.0,E1,10,Pipot_Ferro-5_0mM_200mVpS_E1_scan_10,0.2479,206.35,100.0,0.0287,-212.5,100.0,0.2192,418.85,-0.9710588235294118,0.1383
STM32,0.0,200.0,E1,11,Pipot_Ferro-5_0mM_200mVpS_E1_scan_11,0.2479,207.53,100.0,0.0287,-213.73,100.0,0.2192,421.26,-0.9709914377953494,0.1383
STM32,0.0,20.0,E1,2,Pipot_Ferro-5_0mM_20mVpS_E1_scan_02,0.1779,4.9245,86.93087224877064,0.0683,-5.9522,100.0,0.1096,10.8767,-0.8273411511709956,0.1231
STM32,0.0,20.0,E1,3,Pipot_Ferro-5_0mM_20mVpS_E1_scan_03,0.1779,4.9406,81.92300439069611,0.0683,-5.9749,100.0,0.1096,10.9155,-0.826892500292892,0.1231
STM32,0.0,20.0,E1,4,Pipot_Ferro-5_0mM_20mVpS_E1_scan_04,0.1779,4.986,84.33967820009757,0.0683,-6.1248000000000005,100.0,0.1096,11.110800000000001,-0.8140673981191222,0.1231
STM32,0.0,20.0,E1,5,Pipot_Ferro-5_0mM_20mVpS_E1_scan_05,0.1882,5.101999999999999,91.00098447875286,0.0683,-6.1083,100.0,0.1199,11.2103,-0.8352569454676423,0.12825
STM32,0.0,20.0,E1,6,Pipot_Ferro-5_0mM_20mVpS_E1_scan_06,0.1882,5.1114,88.96700423092284,0.0683,-5.866899999999999,100.0,0.1199,10.978299999999999,-0.8712267125739318,0.12825
STM32,0.0,20.0,E1,7,Pipot_Ferro-5_0mM_20mVpS_E1_scan_07,0.1779,4.881,87.39782622013934,0.0683,-6.055700000000001,100.0,0.1096,10.936700000000002,-0.8060174711428901,0.1231
STM32,0.0,20.0,E1,8,Pipot_Ferro-5_0mM_20mVpS_E1_scan_08,0.1882,5.1406,89.28334201059735,0.0683,-6.0395,100.0,0.1199,11.1801,-0.8511631757595827,0.12825
STM32,0.0,20.0,E1,9,Pipot_Ferro-5_0mM_20mVpS_E1_scan_09,0.1882,5.2296,89.28554099020931,0.0683,-6.034199999999999,100.0,0.1199,11.2638,-0.8666600377846276,0.12825
STM32,0.0,20.0,E1,10,Pipot_Ferro-5_0mM_20mVpS_E1_scan_10,0.1882,5.3088,86.81289016904546,0.0786,-6.0954,100.0,0.1096,11.4042,-0.8709518653410768,0.13340000000000002
STM32,0.0,20.0,E1,11,Pipot_Ferro-5_0mM_20mVpS_E1_scan_11,0.1882,5.3887,87.13792139466662,0.0786,-6.0899,100.0,0.1096,11.4786,-0.8848585362649632,0.13340000000000002
STM32,0.0,400.0,E1,2,Pipot_Ferro-5_0mM_400mVpS_E1_scan_02,0.2881,296.41,100.0,-0.0011,-292.66,94.43066833766441,0.2892,589.07,-1.0128135037244583,0.14350000000000002
STM32,0.0,400.0,E1,3,Pipot_Ferro-5_0mM_400mVpS_E1_scan_03,0.2778,293.71,100.0,-0.0011,-294.90000000000003,97.74044456191982,0.2789,588.61,-0.9959647338080704,0.13835
STM32,0.0,400.0,E1,4,Pipot_Ferro-5_0mM_400mVpS_E1_scan_04,0.2778,293.55,100.0,-0.0115,-297.6,92.65582678567493,0.2893,591.1500000000001,-0.986391129032258,0.13315
STM32,0.0,400.0,E1,5,Pipot_Ferro-5_0mM_400mVpS_E1_scan_05,0.2778,294.5,100.0,-0.0115,-299.81,93.14565650504403,0.2893,594.31,-0.982288782895834,0.13315
STM32,0.0,400.0,E1,6,Pipot_Ferro-5_0mM_400mVpS_E1_scan_06,0.2778,295.14,100.0,-0.0115,-300.77,95.7653106223492,0.2893,595.91,-0.9812813777969878,0.13315
STM32,0.0,400.0,E1,7,Pipot_Ferro-5_0mM_400mVpS_E1_scan_07,0.2778,295.42,100.0,-0.0115,-301.18,93.01693845864503,0.2893,596.6,-0.9808752241184674,0.13315
STM32,0.0,400.0,E1,8,Pipot_Ferro-5_0mM_400mVpS_E1_scan_08,0.2778,295.65,100.0,-0.0115,-302.19,92.24111442579806,0.2893,597.8399999999999,-0.978357986697111,0.13315
STM32,0.0,400.0,E1,9,Pipot_Ferro-5_0mM_400mVpS_E1_scan_09,0.2778,296.97,100.0,-0.0115,-303.48,95.09830787186458,0.2893,600.45,-0.9785488335310399,0.13315
STM32,0.0,400.0,E1,10,Pipot_Ferro-5_0mM_400mVpS_E1_scan_10,0.2778,295.96,100.0,-0.0115,-304.23,89.58830960789099,0.2893,600.19,-0.9728166190053577,0.13315
STM32,0.0,400.0,E1,11,Pipot_Ferro-5_0mM_400mVpS_E1_scan_11,0.2778,296.97,100.0,-0.0115,-304.48999999999995,92.15788287218706,0.2893,601.46,-0.9753029656146346,0.13315
STM32,0.0,50.0,E1,2,Pipot_Ferro-5_0mM_50mVpS_E1_scan_02,0.2083,9.2635,95.67632178183803,0.0585,-9.8024,100.0,0.14980000000000002,19.0659,-0.9450236676732229,0.13340000000000002
STM32,0.0,50.0,E1,3,Pipot_Ferro-5_0mM_50mVpS_E1_scan_03,0.2083,9.2462,95.9522949945549,0.0585,-9.8524,100.0,0.14980000000000002,19.098599999999998,-0.9384718444236938,0.13340000000000002
STM32,0.0,50.0,E1,4,Pipot_Ferro-5_0mM_50mVpS_E1_scan_04,0.2083,9.265,95.18746110773759,0.0585,-9.8717,100.0,0.14980000000000002,19.1367,-0.9385414872818258,0.13340000000000002
