ox_voltage,ox_current,red_voltage,red_current,peak_separation,scan_rate,file_path,success,device,concentration_str,concentration
0.0786,-1.1909999999999998,0.1682,1.0221,0.08959999999999999,20,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_20mVpS_E1_scan_11.csv,True,STM32,1mM,1.0
0.0585,-8.168000000000001,0.198,8.5604,0.1395,400,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_400mVpS_E1_scan_02.csv,True,STM32,1mM,1.0
0.0585,-8.3123,0.1882,8.3833,0.1297,400,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_400mVpS_E1_scan_03.csv,True,STM32,1mM,1.0
0.0585,-8.3809,0.1882,8.365,0.1297,400,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_400mVpS_E1_scan_04.csv,True,STM32,1mM,1.0
0.0585,-8.4329,0.1882,8.351,0.1297,400,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_400mVpS_E1_scan_05.csv,True,STM32,1mM,1.0
0.0585,-8.464899999999998,0.1882,8.3886,0.1297,400,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_400mVpS_E1_scan_06.csv,True,STM32,1mM,1.0
0.0585,-8.5008,0.1882,8.4093,0.1297,400,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_400mVpS_E1_scan_07.csv,True,STM32,1mM,1.0
0.0585,-8.5326,0.1882,8.4095,0.1297,400,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_400mVpS_E1_scan_08.csv,True,STM32,1mM,1.0
0.0585,-8.5588,0.1882,8.427700000000002,0.1297,400,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_400mVpS_E1_scan_09.csv,True,STM32,1mM,1.0
0.0585,-8.5764,0.1882,8.4513,0.1297,400,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_400mVpS_E1_scan_10.csv,True,STM32,1mM,1.0
0.0585,-8.600999999999999,0.1882,8.46,0.1297,400,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_400mVpS_E1_scan_11.csv,True,STM32,1mM,1.0
0.0786,-1.9737,0.1682,1.8541,0.08959999999999999,50,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_50mVpS_E1_scan_02.csv,True,STM32,1mM,1.0
0.0683,-1.9825,0.1682,1.854,0.09989999999999999,50,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_50mVpS_E1_scan_03.csv,True,STM32,1mM,1.0
0.0786,-1.9942,0.1682,1.8533,0.08959999999999999,50,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_50mVpS_E1_scan_04.csv,True,STM32,1mM,1.0
0.0786,-2.0086,0.1682,1.8465,0.08959999999999999,50,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_50mVpS_E1_scan_05.csv,True,STM32,1mM,1.0
0.0786,-1.9948,0.1682,1.8493,0.08959999999999999,50,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_50mVpS_E1_scan_06.csv,True,STM32,1mM,1.0
0.0786,-2.0165,0.1682,1.8543,0.08959999999999999,50,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_50mVpS_E1_scan_07.csv,True,STM32,1mM,1.0
0.0786,-2.02,0.1682,1.8703,0.08959999999999999,50,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_50mVpS_E1_scan_08.csv,True,STM32,1mM,1.0
0.0786,-2.0155,0.1682,1.8831,0.08959999999999999,50,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_50mVpS_E1_scan_09.csv,True,STM32,1mM,1.0
0.0786,-2.0185,0.1682,1.8753,0.08959999999999999,50,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_50mVpS_E1_scan_10.csv,True,STM32,1mM,1.0
0.0786,-2.0332,0.1682,1.8872,0.08959999999999999,50,Test_data/Stm32/Pipot_1mM/Pipot_Ferro-1mM_50mVpS_E1_scan_11.csv,True,STM32,1mM,1.0
0.0482,-143.75,0.2278,142.53,0.1796,100,Test_data/Stm32/Pipot_5mM/Pipot_Ferro-5mM_100mVpS_E1_scan_02.csv,True,STM32,5mM,5.0
0.0482,-146.41,0.2278,141.51,0.1796,100,Test_data/Stm32/Pipot_5mM/Pipot_Ferro-5mM_100mVpS_E1_scan_03.csv,True,STM32,5mM,5.0
0.0482,-147.24,0.2278,141.07,0.1796,100,Test_data/Stm32/Pipot_5mM/Pipot_Ferro-5mM_100mVpS_E1_scan_04.csv,True,STM32,5mM,5.0
0.0482,-147.66,0.2278,140.57,0.1796,100,Test_data/Stm32/Pipot_5mM/Pipot_Ferro-5mM_100mVpS_E1_scan_05.csv,True,STM32,5mM,5.0
