voltage,current
0.530712,6.268887999999999e-06
0.520704,6.084758e-06
0.510696,5.91284e-06
0.500689,5.758771999999999e-06
0.490681,5.609400999999999e-06
0.480673,5.462848e-06
0.470665,5.327569e-06
0.460658,5.201684e-06
0.45065,5.07392e-06
0.440642,4.9593079999999995e-06
0.430634,4.846574999999999e-06
0.420626,4.730085e-06
0.410619,4.625807e-06
0.400611,4.5252860000000006e-06
0.390603,4.417251e-06
0.380595,4.31767e-06
0.370588,4.218088999999999e-06
0.36058,4.120387e-06
0.350572,4.017988e-06
0.340564,3.908074e-06
0.330556,3.7868859999999997e-06
0.320549,3.64597e-06
0.310541,3.489083e-06
0.300533,3.3049529999999995e-06
0.290525,3.0823049999999996e-06
0.280518,2.8117459999999997e-06
0.27051,2.4594559999999995e-06
0.260502,1.9925539999999998e-06
0.250494,1.355613e-06
0.240486,4.6314399999999995e-07
0.230479,-7.65644e-07
0.220471,-2.4378489999999996e-06
0.210463,-4.668081e-06
0.200455,-7.5145869999999994e-06
0.190448,-1.1002732e-05
0.18034,-1.5062995000000001e-05
0.170432,-1.943985e-05
0.160424,-2.4095718e-05
0.150416,-2.8564637999999998e-05
0.140409,-3.2636176e-05
0.13040136,-3.5858455999999995e-05
0.120393584,-3.8009776e-05
0.110385808,-3.888346e-05
0.100378032,-3.8526471999999994e-05
0.090370248,-3.7248831999999996e-05
0.080362472,-3.5398131999999997e-05
0.070354688,-3.3387728e-05
0.060346908,-3.1405506e-05
0.050339128,-2.9601782e-05
0.040331348,-2.7985944e-05
0.03032357,-2.6567388e-05
0.020315792,-2.5317931999999998e-05
0.010308012,-2.4218786e-05
0.000300233,-2.326995e-05
-0.009707546,-2.2424451999999997e-05
-0.019715326,-2.1672902e-05
-0.029723104,-2.1015291999999997e-05
-0.039730884,-2.0423444e-05
-0.049738664,-1.9887963999999998e-05
-0.05974644,-1.9427638e-05
-0.069754224,-1.8995494e-05
-0.079762,-1.858214e-05
-0.089769784,-1.8215758e-05
-0.09977756,-1.7886953999999997e-05
-0.109785344,-1.7576937999999998e-05
-0.11979312,-1.73045e-05
-0.129800904,-1.7050852e-05
-0.139808,-1.6825386e-05
-0.149816,-1.659992e-05
-0.159824,-1.6365059999999997e-05
-0.169832,-1.6158383e-05
-0.179839,-1.5970494e-05
-0.189847,-1.5829579e-05
-0.199855,-1.5688663e-05
-0.209863,-1.5594718e-05
-0.21987,-1.5519563e-05
-0.229878,-1.5500773999999998e-05
-0.239886,-1.5885945e-05
-0.249894,-1.5716844999999998e-05
-0.259902,-1.5895339e-05
-0.269909,-1.6233538e-05
-0.279917,-1.6712652e-05
-0.289925,-1.7398444e-05
-0.299933,-1.8300308e-05
-0.30994,-1.947461e-05
-0.319948,-2.1024685999999997e-05
-0.329956,-2.3006906e-05
-0.339964,-2.5505818e-05
-0.349972,-2.8643552e-05
-0.359979,-3.2420105999999994e-05
-0.369987,-3.6920028e-05
-0.379995,-4.2124527999999996e-05
-0.390003,-4.8099372e-05
