# LabPlot2 Data File
# PLS Analysis: Palmsens (Reference) vs STM32 (Target)
# Generated: 2025-08-28T03:24:18.334469
# Method: Enhanced Detector V4 Improved
# Note: scan_01 files excluded (system not stable)
#
# Column descriptions:
# device: Device name (Palmsens/STM32)
# device_code: Numeric device code (0=Palmsens, 1=STM32)
# concentration: Ferrocyanide concentration (mM)
# scan_rate: CV scan rate (mV/s)
# ox_voltage: Oxidation peak voltage (V)
# ox_current: Oxidation peak current (µA)
# red_voltage: Reduction peak voltage (V)
# red_current: Reduction peak current (µA)
# peak_separation_voltage: |ox_voltage - red_voltage| (V)
# current_ratio: ox_current / red_current
# midpoint_potential: (ox_voltage + red_voltage) / 2 (V)
#
device,device_code,concentration,scan_rate,electrode,scan_number,filename,ox_voltage,ox_current,ox_confidence,red_voltage,red_current,red_confidence,peak_separation_voltage,peak_separation_current,current_ratio,midpoint_potential
Palmsens,0,0.5,100.0,E5,6,Palmsens_0.5mM_CV_100mVpS_E5_scan_06,0.190448,16.474974,78.4750108281577,0.110385808,-14.824377,100.0,0.080062192,31.299351,-1.1113434311607158,0.15041690400000002
Palmsens,0,0.5,100.0,E5,7,Palmsens_0.5mM_CV_100mVpS_E5_scan_07,0.190448,16.501278,77.64264613714398,0.110385808,-14.864773,100.0,0.080062192,31.366051,-1.1100928349191743,0.15041690400000002
Palmsens,0,0.5,100.0,E5,8,Palmsens_0.5mM_CV_100mVpS_E5_scan_08,0.190448,16.540736,77.85553916854865,0.110385808,-14.912684,100.0,0.080062192,31.45342,-1.1091722992319826,0.15041690400000002
Palmsens,0,0.5,100.0,E5,9,Palmsens_0.5mM_CV_100mVpS_E5_scan_09,0.190448,16.583009,77.79246215101388,0.110385808,-14.972808,100.0,0.080062192,31.555817,-1.1075416848997195,0.15041690400000002
Palmsens,0,0.5,100.0,E5,10,Palmsens_0.5mM_CV_100mVpS_E5_scan_10,0.190448,16.637497,77.7527159714146,0.110385808,-15.025417,100.0,0.080062192,31.662914,-1.1072902003318776,0.15041690400000002
Palmsens,0,0.5,100.0,E5,11,Palmsens_0.5mM_CV_100mVpS_E5_scan_11,0.190448,16.686348,77.14613798062696,0.100378032,-15.005689,100.0,0.090069968,31.692037,-1.1120014549148658,0.145413016
Palmsens,0,0.5,200.0,E1,2,Palmsens_0.5mM_CV_200mVpS_E1_scan_02,0.200455,31.480664,86.52636013749472,0.100378032,-32.147664,100.0,0.10007696799999999,63.628327999999996,-0.9792519916843725,0.150416516
Palmsens,0,0.5,200.0,E1,3,Palmsens_0.5mM_CV_200mVpS_E1_scan_03,0.200455,31.997354,85.83231827291422,0.110385808,-32.269796,100.0,0.09006919199999999,64.26715,-0.9915573683824962,0.155420404
Palmsens,0,0.5,200.0,E1,4,Palmsens_0.5mM_CV_200mVpS_E1_scan_04,0.200455,32.251006,85.9181701483573,0.110385808,-32.260398,100.0,0.09006919199999999,64.511404,-0.9997088690598298,0.155420404
Palmsens,0,0.5,200.0,E1,5,Palmsens_0.5mM_CV_200mVpS_E1_scan_05,0.200455,32.401316,86.90589613501966,0.110385808,-32.297976,100.0,0.09006919199999999,64.699292,-1.0031995812988406,0.155420404
Palmsens,0,0.5,200.0,E1,6,Palmsens_0.5mM_CV_200mVpS_E1_scan_06,0.200455,32.551626,86.9326796290354,0.110385808,-32.373132,100.0,0.09006919199999999,64.924758,-1.005513646316334,0.155420404
Palmsens,0,0.5,200.0,E1,7,Palmsens_0.5mM_CV_200mVpS_E1_scan_07,0.200455,32.64557,84.72865858716281,0.110385808,-32.382526,100.0,0.09006919199999999,65.028096,-1.0081230228920375,0.155420404
Palmsens,0,0.5,200.0,E1,8,Palmsens_0.5mM_CV_200mVpS_E1_scan_08,0.200455,32.739512,83.89254280614287,0.110385808,-32.373132,100.0,0.09006919199999999,65.11264399999999,-1.0113174097581907,0.155420404
Palmsens,0,0.5,200.0,E1,9,Palmsens_0.5mM_CV_200mVpS_E1_scan_09,0.200455,32.786486,83.8797285995507,0.110385808,-32.410708,100.0,0.09006919199999999,65.197194,-1.0115942545901804,0.155420404
Palmsens,0,0.5,200.0,E1,10,Palmsens_0.5mM_CV_200mVpS_E1_scan_10,0.200455,32.871036,86.7083462197456,0.110385808,-32.467076,100.0,0.09006919199999999,65.338112,-1.0124421429265757,0.155420404
Palmsens,0,0.5,200.0,E1,11,Palmsens_0.5mM_CV_200mVpS_E1_scan_11,0.200455,32.974374,85.80734406309831,0.110385808,-32.532836,100.0,0.09006919199999999,65.50721,-1.0135720722288089,0.155420404
